Event.Clearance.Group,Event.Clearance.Date,Latitude,Longitude
TRAFFIC RELATED CALLS,01/01/2017 08:13:29 AM,47.617966,-122.35031
DISTURBANCES,01/01/2017 08:16:37 PM,47.613655,-122.345
LIQUOR VIOLATIONS,01/01/2017 08:17:28 PM,47.61376,-122.33149
LIQUOR VIOLATIONS,01/01/2017 08:18:20 PM,47.700718,-122.36405
PROPERTY DAMAGE,01/01/2017 08:30:33 PM,47.657917,-122.316666
ASSAULTS,01/01/2017 08:30:35 AM,47.622543,-122.333
"NUISANCE, MISCHIEF",01/01/2017 08:30:50 AM,47.610874,-122.325005
FALSE ALACAD,01/01/2017 08:31:38 AM,47.62287,-122.29986
SUSPICIOUS CIRCUMSTANCES,01/01/2017 08:32:38 PM,47.653103,-122.32909
SUSPICIOUS CIRCUMSTANCES,01/01/2017 08:32:55 PM,47.66951,-122.357086
HAZARDS,01/01/2017 08:34:28 PM,47.618553,-122.343765
FALSE ALACAD,01/01/2017 08:36:22 PM,47.690605,-122.357315
TRESPASS,01/01/2017 08:38:12 PM,47.637775,-122.35693
MOTOR VEHICLE COLLISION INVESTIGATION,01/01/2017 08:39:06 AM,47.638245,-122.3259
DISTURBANCES,01/01/2017 08:39:24 PM,47.649708,-122.350525
DISTURBANCES,01/01/2017 08:41:16 PM,47.660835,-122.33256
TRESPASS,01/01/2017 08:41:16 PM,47.660534,-122.31315
LIQUOR VIOLATIONS,01/01/2017 08:45:03 PM,47.613552,-122.34284
CAR PROWL,01/01/2017 08:47:40 PM,47.697067,-122.3408
SHOPLIFTING,01/01/2017 08:49:15 PM,47.616856,-122.348434
TRAFFIC RELATED CALLS,01/01/2017 08:53:12 PM,47.619896,-122.32221
TRAFFIC RELATED CALLS,01/01/2017 08:58:08 PM,47.66458,-122.28316
FALSE ALACAD,01/01/2017 08:59:59 PM,47.632935,-122.301605
SUSPICIOUS CIRCUMSTANCES,01/01/2017 09:03:03 PM,47.60617,-122.29679
HAZARDS,01/01/2017 09:03:06 AM,47.618572,-122.347626
TRESPASS,01/01/2017 09:07:31 PM,47.660534,-122.31315
TRESPASS,01/01/2017 09:09:56 AM,47.614655,-122.32079
CAR PROWL,01/01/2017 09:10:41 AM,47.608788,-122.33845
FALSE ALACAD,01/01/2017 09:11:05 PM,47.685886,-122.38759
FALSE ALACAD,01/01/2017 09:22:30 AM,47.693108,-122.31896
"NUISANCE, MISCHIEF",01/01/2017 09:23:02 PM,47.65344,-122.3914
TRAFFIC RELATED CALLS,01/01/2017 09:25:07 AM,47.68227,-122.38
TRAFFIC RELATED CALLS,01/01/2017 09:28:38 AM,47.626736,-122.361916
FALSE ALACAD,01/01/2017 09:28:47 PM,47.67916,-122.34994
SUSPICIOUS CIRCUMSTANCES,01/01/2017 09:29:30 PM,47.696354,-122.34325
MOTOR VEHICLE COLLISION INVESTIGATION,01/01/2017 09:30:46 PM,47.618572,-122.347626
TRAFFIC RELATED CALLS,01/01/2017 09:31:17 PM,47.679413,-122.290375
TRAFFIC RELATED CALLS,01/01/2017 09:39:18 PM,47.620216,-122.30474
SUSPICIOUS CIRCUMSTANCES,01/01/2017 09:42:28 PM,47.633858,-122.32504
TRAFFIC RELATED CALLS,01/01/2017 09:42:34 AM,47.67019,-122.39151
TRAFFIC RELATED CALLS,01/01/2017 09:46:07 AM,47.670918,-122.38886
FALSE ALACAD,01/01/2017 09:51:59 AM,47.61996,-122.31391
ASSAULTS,01/01/2017 09:52:12 AM,47.614086,-122.325516
SUSPICIOUS CIRCUMSTANCES,01/01/2017 09:53:17 AM,47.66865,-122.39286
DISTURBANCES,01/01/2017 09:59:40 PM,47.695633,-122.34458
TRAFFIC RELATED CALLS,01/01/2017 10:10:08 AM,47.61852,-122.33532
FALSE ALACAD,01/01/2017 10:11:08 AM,47.63613,-122.34953
DISTURBANCES,01/01/2017 10:31:22 PM,47.61132,-122.33732
SUSPICIOUS CIRCUMSTANCES,01/01/2017 10:31:32 AM,47.623882,-122.33844
DISTURBANCES,01/01/2017 10:33:35 PM,47.633568,-122.38072
FALSE ALACAD,01/01/2017 10:35:10 PM,47.68567,-122.33728
SUSPICIOUS CIRCUMSTANCES,01/01/2017 10:35:42 AM,47.61278,-122.341545
FALSE ALACAD,01/01/2017 10:37:55 AM,47.676693,-122.28224
DISTURBANCES,01/01/2017 10:41:00 PM,47.62084,-122.33427
SUSPICIOUS CIRCUMSTANCES,01/01/2017 10:45:36 PM,47.6231,-122.31364
DISTURBANCES,01/01/2017 10:49:58 AM,47.619274,-122.32483
SHOPLIFTING,01/01/2017 10:59:58 PM,47.609516,-122.33835
TRAFFIC RELATED CALLS,01/01/2017 11:00:08 PM,47.69962,-122.344635
FALSE ALACAD,01/01/2017 11:02:22 PM,47.630157,-122.34494
PROPERTY DAMAGE,01/01/2017 11:03:09 PM,47.66946,-122.39151
TRESPASS,01/01/2017 11:03:46 PM,47.609516,-122.33835
TRESPASS,01/01/2017 11:03:58 PM,47.609516,-122.33835
PROPERTY DAMAGE,01/01/2017 11:04:45 AM,47.629654,-122.32861
OTHER PROPERTY,01/01/2017 11:05:51 PM,47.61167,-122.33649
CAR PROWL,01/01/2017 11:06:28 AM,47.611732,-122.34176
SUSPICIOUS CIRCUMSTANCES,01/01/2017 11:10:46 AM,47.624092,-122.36451
FALSE ALACAD,01/01/2017 11:11:29 AM,47.64954,-122.40092
